date,price_aluminium_lme,price_copper_lme,price_nickel_lme,negative_aluminium_lme,negative_copper_lme,negative_nickel_lme,neutral_aluminium_lme,neutral_copper_lme,neutral_nickel_lme,positive_aluminium_lme,positive_copper_lme,positive_nickel_lme,sentiment_score_aluminium_lme,sentiment_score_copper_lme,sentiment_score_nickel_lme,action_aluminium_lme,action_name_aluminium_lme,greedy_action_aluminium_lme,greedy_action_name_aluminium_lme,prob_hold_aluminium_lme,prob_buy_aluminium_lme,prob_sell_aluminium_lme,entropy_aluminium_lme,normalized_entropy_aluminium_lme,position_aluminium_lme,action_copper_lme,action_name_copper_lme,greedy_action_copper_lme,greedy_action_name_copper_lme,prob_hold_copper_lme,prob_buy_copper_lme,prob_sell_copper_lme,entropy_copper_lme,normalized_entropy_copper_lme,position_copper_lme,action_nickel_lme,action_name_nickel_lme,greedy_action_nickel_lme,greedy_action_name_nickel_lme,prob_hold_nickel_lme,prob_buy_nickel_lme,prob_sell_nickel_lme,entropy_nickel_lme,normalized_entropy_nickel_lme,position_nickel_lme,cash_balance,net_worth,reward,capital_mode,mean_normalized_entropy
2020-10-29,1786.0025886715,6692.0096995462,15393.0223109855,0.0,0.0833333333333333,0.0,1.0,0.8333333333333334,1.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,1,buy,1,buy,0.32721564173698425,0.33933112025260925,0.3334532082080841,1.098502141846595,0.999899740042369,23,2,sell,0,hold,0.3384811580181122,0.337752103805542,0.3237667381763458,1.0984049697599518,0.9998112901973731,16,0,hold,0,hold,0.3395408093929291,0.32484233379364014,0.3356167674064636,1.09843796593678,0.9998413246118509,8,-223760.3350830078,47534.059814453125,-3780.5,infinite,0.999850784950531
2020-10-30,1820.5026386766,6694.5097031698,15256.0221124143,0.0,0.0833333333333333,0.0833333333333333,1.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,-0.0833333333333333,-0.0833333333333333,0,hold,1,buy,0.32778623700141907,0.3371675908565521,0.3350461423397064,1.098539513790067,0.9999337574512925,23,1,buy,0,hold,0.3404376804828644,0.33959996700286865,0.31996235251426697,1.0982067387573837,0.9996308525629022,17,0,hold,2,sell,0.3354671001434326,0.3275664150714874,0.33696645498275757,1.0985355697125245,0.9999301673972004,8,-230454.8448486328,47271.56262207031,-262.4971923828125,infinite,0.999831592470465
2020-11-02,1834.5026589685,6712.5097292594,15113.0219051467,0.0,0.0,0.0,1.0,0.9166666666666666,1.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0,hold,1,buy,0.32438915967941284,0.34047698974609375,0.3351338505744934,1.0984103426354466,0.9998161807994083,23,1,buy,0,hold,0.33936336636543274,0.3389222323894501,0.3217143416404724,1.0983065824477571,0.9997217342064112,18,0,hold,0,hold,0.3364521563053131,0.327456533908844,0.3360913395881653,1.0985342525021349,0.9999289684206341,8,-237167.3546142578,46755.55480957031,-516.0078125,infinite,0.9998222944754845
2020-11-03,1891.002740861,6791.5098437639,15365.0222704016,0.0,0.0833333333333333,0.0,1.0,0.75,1.0,0.0,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,1,buy,1,buy,0.3264642655849457,0.3372560441493988,0.3362797200679779,1.0985050462247092,0.9999023837212575,24,1,buy,0,hold,0.3426155745983124,0.33858948945999146,0.31879493594169617,1.098121247134553,0.9995530347342536,19,2,sell,2,sell,0.3324243724346161,0.33174988627433777,0.33582577109336853,1.0985979860693207,0.9999869812135395,7,-230484.8446044922,51493.06262207031,4737.5078125,infinite,0.9998141332230168
2020-11-04,1877.0027205691,6748.009780714,15391.0223080866,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0,hold,1,buy,0.32355809211730957,0.34075435996055603,0.3356875479221344,1.098377238486112,0.9997860481041198,24,0,hold,0,hold,0.3416447937488556,0.3402797281742096,0.3180755376815796,1.0980829838740402,0.9995182060135963,19,1,buy,0,hold,0.33945196866989136,0.3248034119606018,0.3357445299625397,1.0984376903498254,0.9998410737617945,8,-245875.8670654297,50512.56262207031,-980.5,infinite,0.9997151092931702
2020-11-05,1885.5027328892,6798.0098531852,15450.0223936026,0.1666666666666666,0.1666666666666666,0.0,0.75,0.75,0.9166666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,-0.0833333333333333,-0.0833333333333333,0.0833333333333333,2,sell,1,buy,0.3240932822227478,0.3389146625995636,0.3369921147823334,1.0984165456575126,0.9998218270334164,23,1,buy,0,hold,0.34260356426239014,0.3401906192302704,0.3172058165073395,1.0980179126859366,0.9994589756656611,20,0,hold,2,sell,0.3341969847679138,0.3269994854927063,0.33880358934402466,1.0985059675337663,0.9999032223329011,8,-250788.3741455078,52138.56262207031,1626.0,infinite,0.9997280083439929
2020-11-06,1891.5027415857,6938.5100568292,15532.0225124554,0.1666666666666666,0.4166666666666666,0.1666666666666666,0.75,0.3333333333333333,0.75,0.0833333333333333,0.25,0.0833333333333333,-0.0833333333333333,-0.1666666666666666,-0.0833333333333333,0,hold,2,sell,0.32339832186698914,0.3383006453514099,0.3383009731769562,1.0983890762723574,0.9997968233215168,23,1,buy,0,hold,0.3401089012622833,0.3383401334285736,0.32155096530914307,1.0982957387631005,0.9997118638592756,21,2,sell,2,sell,0.33597224950790405,0.3251839578151703,0.33884382247924805,1.0984561306325178,0.9998578588304512,7,-242194.86193847656,55742.57238769531,3604.009765625,infinite,0.9997888486704145
2020-11-09,1913.0027727483,7034.0101952492,15862.0229907654,0.1666666666666666,0.0,0.0,0.6666666666666667,0.75,0.8333333333333334,0.1666666666666666,0.25,0.1666666666666666,0.0,0.25,0.1666666666666666,1,buy,1,buy,0.3268020749092102,0.3376704156398773,0.3355274498462677,1.098512581334771,0.9999092424740126,24,1,buy,0,hold,0.3392890393733978,0.3390786051750183,0.32163235545158386,1.098302351471597,0.9997178830059433,22,0,hold,2,sell,0.3310752511024475,0.3319094777107239,0.3370152711868286,1.09858131701095,0.9999718083827395,7,-251141.875,60552.58203125,4810.0096435546875,infinite,0.9998663112875651
2020-11-10,1880.0027249173,6865.5099510213,15700.0227559587,0.0,0.0,0.0,0.9166666666666666,0.8333333333333334,0.75,0.0833333333333333,0.1666666666666666,0.25,0.0833333333333333,0.1666666666666666,0.25,0,hold,1,buy,0.3271643817424774,0.33673521876335144,0.33610039949417114,1.098526095462858,0.999921543563511,24,2,sell,0,hold,0.3432867228984833,0.33950111269950867,0.31721219420433044,1.0980121498095747,0.9994537300695383,21,1,buy,2,sell,0.3270472586154938,0.3314397633075714,0.3415129482746124,1.0984477036155487,0.9998501882290425,8,-259976.3876953125,54919.5615234375,-5633.0205078125,infinite,0.9997418206206973
2020-11-11,1905.0027611529,6912.5100191442,15807.022911047,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,1.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0,hold,1,buy,0.33096539974212646,0.3361629247665405,0.332871675491333,1.0985915621353322,0.9999811338968339,24,0,hold,0,hold,0.34411904215812683,0.3403050899505615,0.31557583808898926,1.0978856152789531,0.9993385533762438,21,1,buy,2,sell,0.3286285102367401,0.3328796923160553,0.3384917974472046,1.0985389091674884,0.9999332071001041,9,-275783.41015625,57362.57470703125,2443.01318359375,infinite,0.9997509647910606
2020-11-12,1904.5027604282,6904.0100068241,15874.0230081585,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,1,buy,1,buy,0.3270949721336365,0.3364827036857605,0.33642229437828064,1.0985244456462413,0.9999200418357098,25,1,buy,1,buy,0.339209645986557,0.34112319350242615,0.31966713070869446,1.0981864151370575,0.9996123532064541,22,0,hold,0,hold,0.3359454572200775,0.32867392897605896,0.33538058400154114,1.0985630886117972,0.999955216178792,9,-284591.9227294922,57775.0732421875,412.49853515625,infinite,0.9998292037403186
2020-11-13,1918.0027799955,6926.0100387114,15815.0229226424,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,hold,1,buy,0.32797130942344666,0.3366018831729889,0.3354267477989197,1.0985463957262722,0.9999400216595816,25,0,hold,1,buy,0.3387313485145569,0.3397696614265442,0.3214989900588989,1.098294462767737,0.9997107023982426,22,2,sell,2,sell,0.3292977809906006,0.3303864002227783,0.3403157591819763,1.0985020697190588,0.9998996743890562,8,-268776.9002685547,58065.5751953125,290.501953125,infinite,0.9998501328156268
2020-11-16,1933.0028017368,7113.0103097538,16030.0232342686,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2,sell,1,buy,0.3319631814956665,0.33575764298439026,0.33227914571762085,1.0985990054791923,0.9999879091203926,24,2,sell,1,buy,0.33707302808761597,0.33754563331604004,0.325381338596344,1.0984692701930303,0.9998698189738503,21,2,sell,2,sell,0.32852089405059814,0.3333365023136139,0.3381425738334656,1.0985428533580945,0.9999367972571112,7,-243700.86376953125,64274.5830078125,6209.0078125,infinite,0.9999315084504513
2020-11-17,1944.5028184052,7050.01021844,15703.0227603069,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666667,0.5,0.75,0.1666666666666666,0.3333333333333333,0.0833333333333333,0.0,0.1666666666666666,-0.0833333333333333,2,sell,1,buy,0.3261736035346985,0.3371722400188446,0.3366541266441345,1.0984963312750793,0.9998944510322463,23,0,hold,1,buy,0.3366352319717407,0.3366987407207489,0.326665997505188,1.0985119274042776,0.9999086472408261,21,2,sell,2,sell,0.3291894793510437,0.33302104473114014,0.3377894163131714,1.0985566244723328,0.9999493322654852,6,-226053.33850097656,60938.576171875,-3336.0068359375,infinite,0.9999174768461859
2020-11-18,1978.0028669609,7083.010266271,15745.0228211827,0.1666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1666666666666666,0.0,-0.1666666666666666,0.1666666666666666,0.0,2,sell,1,buy,0.32673749327659607,0.3388446271419525,0.3344179391860962,1.098499521141203,0.9998973545735197,22,1,buy,1,buy,0.34146544337272644,0.341561883687973,0.3169727027416229,1.098004910495797,0.999447140562164,22,2,sell,0,hold,0.337645560503006,0.3282696604728699,0.33408471941947937,1.0985450115601765,0.9999387617373051,5,-215413.32348632812,62654.076171875,1715.5,infinite,0.9997610856243296
2020-11-19,1983.002874208,7028.0101865527,15690.0227414644,0.1666666666666666,0.1666666666666666,0.0,0.6666666666666667,0.75,1.0,0.1666666666666666,0.0833333333333333,0.0,0.0,-0.0833333333333333,0.0,1,buy,1,buy,0.33017444610595703,0.33582672476768494,0.3339988589286804,1.0985873070285335,0.9999772607317122,23,0,hold,1,buy,0.3374570310115814,0.34181952476501465,0.32072341442108154,1.098238186963339,0.9996594779535697,22,0,hold,2,sell,0.3349592685699463,0.32443681359291077,0.34060391783714294,1.0984098151637673,0.999815700673995,5,-217396.32641601562,61279.078857421875,-1374.997314453125,infinite,0.9998174797864255
2020-11-20,1984.0028756575,7178.510404691,15870.0230023608,0.0,0.1666666666666666,0.0,0.75,0.4166666666666666,1.0,0.25,0.4166666666666667,0.0,0.25,0.25,0.0,0,hold,1,buy,0.3286888897418976,0.33746179938316345,0.33384931087493896,1.09855392046075,0.9999468709680732,23,2,sell,0,hold,0.33915403485298157,0.3356718122959137,0.32517415285110474,1.0984528942429403,0.9998549129417051,21,0,hold,2,sell,0.3314981162548065,0.3287320137023926,0.3397698998451233,1.0985135740751728,0.9999101461052683,5,-210217.81616210938,65513.083740234375,4234.0048828125,infinite,0.9999039766716823
